TaxiId,Latitude,Longitude,CLUSTER_ID
abboip,37.77528,-122.47032,"126"
abboip,37.78298,-122.46556,"157"
abboip,37.74319,-122.45522,"133"
abboip,37.7388,-122.42923,"189"
abboip,37.76839,-122.45343,"239"
abboip,37.76941,-122.45204,"404"
abboip,37.72996,-122.40337,"281"
abboip,37.7334,-122.4266,"160"
abboip,37.72059,-122.43522,"365"
abboip,37.78103,-122.46746,"32"
abboip,37.77253,-122.48956,"166"
abboip,37.78631,-122.4544,"290"
abboip,37.76365,-122.45409,"282"
abboip,37.75367,-122.46675,"212"
abboip,37.76346,-122.46622,"288"
abboip,37.7651,-122.48634,"62"
abboip,37.73714,-122.4347,"250"
abboip,37.7109,-122.42046,"159"
abboip,37.73358,-122.40496,"123"
abboip,37.73841,-122.43836,"131"
abboip,37.73839,-122.43836,"131"
abboip,37.76383,-122.45801,"100"
abboip,37.7854,-122.46113,"64"
abboip,37.74417,-122.42094,"419"
abboip,37.78432,-122.47342,"277"
abboip,37.77594,-122.48233,"346"
abboip,37.77589,-122.45297,"220"
abboip,37.76761,-122.4532,"239"
abboip,37.76358,-122.45808,"100"
abboip,37.76522,-122.47176,"135"
abboip,37.77445,-122.45386,"220"
abboip,37.76423,-122.4617,"333"
abboip,37.75939,-122.48331,"420"
abboip,37.75351,-122.47857,"114"
abboip,37.78408,-122.45383,"363"
abboip,37.78355,-122.49288,"43"
abboip,37.72586,-122.42643,"137"
abboip,37.76389,-122.4564,"243"
abboip,37.76395,-122.45638,"243"
abboip,37.77996,-122.48458,"314"
abboip,37.7231,-122.47431,"74"
abboip,37.78156,-122.45554,"273"
abboip,37.78091,-122.46875,"306"
abboip,37.76273,-122.46732,"140"
abboip,37.77104,-122.46811,"323"
abboip,37.71148,-122.41413,"208"
abboip,37.71234,-122.45752,"206"
abboip,37.78042,-122.48032,"164"
abboip,37.7651,-122.45501,"38"
abboip,37.76372,-122.47409,"349"
abboip,37.7639,-122.47284,"135"
abboip,37.76045,-122.46368,"6"
abboip,37.78499,-122.46443,"354"
abboip,37.72581,-122.42859,"341"
abboip,37.73229,-122.41933,"327"
abboip,37.78344,-122.45796,"251"
abboip,37.78798,-122.45535,"107"
abboip,37.72429,-122.42305,"305"
abboip,37.76368,-122.45733,"243"
abboip,37.76355,-122.45759,"100"
abboip,37.74016,-122.41273,"241"
abboip,37.71877,-122.40505,"53"
abboip,37.78623,-122.45641,"107"
abboip,37.78013,-122.45885,"102"
abboip,37.73548,-122.41111,"248"
abboip,37.77993,-122.49041,"205"
abboip,37.77617,-122.46721,"374"
abboip,37.73336,-122.38824,"171"
