TaxiId,Latitude,Longitude,Occupied,Time
abboip,37.77528,-122.47032,1,"""1213035100
"
abboip,37.78298,-122.46556,1,"""1213034771
"
abboip,37.74319,-122.45522,1,"""1212986908
"
abboip,37.7388,-122.42923,1,"""1212812232
"
abboip,37.76839,-122.45343,1,"""1212811512
"
abboip,37.76941,-122.45204,1,"""1212811477
"
abboip,37.72996,-122.40337,1,"""1212805690
"
abboip,37.7334,-122.4266,1,"""1212780002
"
abboip,37.72059,-122.43522,1,"""1212779458
"
abboip,37.78103,-122.46746,1,"""1212775383
"
abboip,37.77253,-122.48956,1,"""1212739945
"
abboip,37.78631,-122.4544,1,"""1212734723
"
abboip,37.76365,-122.45409,1,"""1212729714
"
abboip,37.75367,-122.46675,1,"""1212726706
"
abboip,37.76346,-122.46622,1,"""1212726586
"
abboip,37.7651,-122.48634,1,"""1212724957
"
abboip,37.73714,-122.4347,1,"""1212718382
"
abboip,37.7109,-122.42046,1,"""1212717316
"
abboip,37.73358,-122.40496,1,"""1212715716
"
abboip,37.73841,-122.43836,1,"""1212698117
"
abboip,37.73839,-122.43836,1,"""1212696190
"
abboip,37.76383,-122.45801,1,"""1212676328
"
abboip,37.7854,-122.46113,1,"""1212658960
"
abboip,37.74417,-122.42094,1,"""1212655593
"
abboip,37.78432,-122.47342,1,"""1212638375
"
abboip,37.77594,-122.48233,1,"""1212637971
"
abboip,37.77589,-122.45297,1,"""1212617420
"
abboip,37.76761,-122.4532,1,"""1212543662
"
abboip,37.76358,-122.45808,1,"""1212543425
"
abboip,37.76522,-122.47176,1,"""1212542621
"
abboip,37.77445,-122.45386,1,"""1212525549
"
abboip,37.76423,-122.4617,1,"""1212524512
"
abboip,37.75939,-122.48331,1,"""1212475536
"
abboip,37.75351,-122.47857,1,"""1212475231
"
abboip,37.78408,-122.45383,1,"""1212463389
"
abboip,37.78355,-122.49288,1,"""1212462494
"
abboip,37.72586,-122.42643,1,"""1212449383
"
abboip,37.76389,-122.4564,1,"""1212434866
"
abboip,37.76395,-122.45638,1,"""1212434828
"
abboip,37.77996,-122.48458,1,"""1212416822
"
abboip,37.7231,-122.47431,1,"""1212314899
"
abboip,37.78156,-122.45554,1,"""1212313755
"
abboip,37.78091,-122.46875,1,"""1212313423
"
abboip,37.76273,-122.46732,1,"""1212269384
"
abboip,37.77104,-122.46811,1,"""1212269123
"
abboip,37.71148,-122.41413,1,"""1212267383
"
abboip,37.71234,-122.45752,1,"""1212266149
"
abboip,37.78042,-122.48032,1,"""1212224755
"
abboip,37.7651,-122.45501,1,"""1212209951
"
abboip,37.76372,-122.47409,1,"""1212203821
"
abboip,37.7639,-122.47284,1,"""1212203704
"
abboip,37.76045,-122.46368,1,"""1212146122
"
abboip,37.78499,-122.46443,1,"""1212095884
"
abboip,37.72581,-122.42859,1,"""1212032595
"
abboip,37.73229,-122.41933,1,"""1212032221
"
abboip,37.78344,-122.45796,1,"""1212028984
"
abboip,37.78798,-122.45535,1,"""1212027317
"
abboip,37.72429,-122.42305,1,"""1212022637
"
abboip,37.76368,-122.45733,1,"""1212003155
"
abboip,37.76355,-122.45759,1,"""1211987654
"
abboip,37.74016,-122.41273,1,"""1211986397
"
abboip,37.71877,-122.40505,1,"""1211980046
"
abboip,37.78623,-122.45641,1,"""1211941348
"
abboip,37.78013,-122.45885,1,"""1211941165
"
abboip,37.73548,-122.41111,1,"""1211932446
"
abboip,37.77993,-122.49041,1,"""1211930149
"
abboip,37.77617,-122.46721,1,"""1211929654
"
abboip,37.73336,-122.38824,1,"""1211891963
"
abboip,37.77332,-122.50838,1,"""1211828648
"
abboip,37.78494,-122.46784,1,"""1211827460
"
abboip,37.76434,-122.45823,1,"""1211825303
"
abboip,37.78035,-122.48449,1,"""1211817608
"
abboip,37.7429,-122.43336,1,"""1211765341
"
abboip,37.74442,-122.4278,1,"""1211764930
"
abboip,37.77336,-122.46532,1,"""1211762352
"
abboip,37.78571,-122.45994,1,"""1211761747
"
abboip,37.74231,-122.42669,1,"""1211756375
"
abboip,37.76972,-122.45373,1,"""1211753872
"
abboip,37.80076,-122.45445,1,"""1211753122
"
abboip,37.79732,-122.45799,1,"""1211753033
"
abboip,37.78154,-122.45315,1,"""1211697612
"
abboip,37.7818,-122.4519,1,"""1211697540
"
abboip,37.7652,-122.48187,1,"""1211696996
"
abboip,37.76274,-122.49858,1,"""1211696686
"
abboip,37.74368,-122.42839,1,"""1211683767
"
abboip,37.75076,-122.50102,1,"""1211673644
"
abboip,37.75149,-122.49686,1,"""1211673279
"
abboip,37.72401,-122.43528,1,"""1211669706
"
abboip,37.71823,-122.41435,1,"""1211669454
"
abboip,37.72579,-122.40942,1,"""1211669172
"
abboip,37.71832,-122.43028,1,"""1211667661
"
abboip,37.73979,-122.41006,1,"""1211623537
"
abboip,37.73116,-122.46525,1,"""1211613974
"
abboip,37.78191,-122.46547,1,"""1211611085
"
abboip,37.77387,-122.49608,1,"""1211610676
"
abboip,37.77481,-122.47558,1,"""1211609716
"
abboip,37.78521,-122.49996,1,"""1211585482
"
abboip,37.78138,-122.49352,1,"""1211585197
"
abboip,37.78271,-122.45441,1,"""1211584655
"
abboip,37.78943,-122.45884,1,"""1211584265
"
abboip,37.76372,-122.45707,1,"""1211486304
"
abboip,37.76361,-122.45664,1,"""1211486157
"
abboip,37.76372,-122.45707,1,"""1211486304
"
abboip,37.7629,-122.4594,1,"""1211485825
"
abboip,37.78107,-122.46127,1,"""1211485215
"
abboip,37.75505,-122.45642,1,"""1211481910
"
abboip,37.8018,-122.45472,1,"""1211468026
"
abboip,37.73067,-122.40744,1,"""1211459811
"
abboip,37.73067,-122.40741,1,"""1211459691
"
abboip,37.73067,-122.40741,1,"""1211459691
"
abboip,37.73067,-122.40741,1,"""1211459691
"
abboip,37.73067,-122.40741,1,"""1211459691
"
abboip,37.73067,-122.40741,1,"""1211459691
"
abboip,37.73067,-122.40741,1,"""1211459691
"
abboip,37.73067,-122.40741,1,"""1211459691
"
abboip,37.78258,-122.46872,1,"""1211422087
"
abboip,37.78316,-122.46054,1,"""1211421910
"
abboip,37.78407,-122.45391,1,"""1211421830
"
abboip,37.78316,-122.46054,1,"""1211421910
"
abboip,37.78316,-122.46054,1,"""1211421910
"
abboip,37.78316,-122.46054,1,"""1211421910
"
abboip,37.71577,-122.45902,1,"""1211413899
"
abboip,37.7304,-122.40855,1,"""1211347368
"
abboip,37.78005,-122.48382,1,"""1211338096
"
abboip,37.74121,-122.43772,1,"""1211319110
"
abboip,37.77038,-122.45187,1,"""1211308506
"
abboip,37.77299,-122.45397,1,"""1211303658
"
abboip,37.73738,-122.39695,1,"""1211301567
"
abboip,37.74266,-122.40694,1,"""1211300521
"
abboip,37.77299,-122.45399,1,"""1211299609
"
abboip,37.77154,-122.45399,1,"""1211290561
"
abboip,37.71557,-122.47375,1,"""1211280710
"
abboip,37.77533,-122.48113,1,"""1211280134
"
abboip,37.78035,-122.46317,1,"""1211279740
"
abboip,37.73451,-122.47559,1,"""1211258911
"
abboip,37.71903,-122.48198,1,"""1211258187
"
abboip,37.78059,-122.48474,1,"""1211257369
"
abboip,37.78028,-122.48323,1,"""1211256896
"
abboip,37.72329,-122.43376,1,"""1211254220
"
abboip,37.78046,-122.4749,1,"""1211236680
"
abboip,37.78102,-122.48805,1,"""1211236396
"
abboip,37.77417,-122.48938,1,"""1211214269
"
abboip,37.77512,-122.50263,1,"""1211213574
"
abboip,37.73742,-122.42394,1,"""1211175546
"
abboip,37.73735,-122.42305,1,"""1211175421
"
abboip,37.75497,-122.46829,1,"""1211102708
"
abboip,37.72363,-122.43262,1,"""1211099623
"
abboip,37.74467,-122.4123,1,"""1211097718
"
abboip,37.74246,-122.40318,1,"""1211089245
"
abboip,37.7432,-122.43415,1,"""1211081308
"
abboip,37.72166,-122.44585,1,"""1211067785
"
abboip,37.71933,-122.44528,1,"""1211065673
"
abboip,37.72791,-122.43226,1,"""1211064573
"
abboip,37.77729,-122.45749,1,"""1211049778
"
abboip,37.77197,-122.46199,1,"""1211048942
"
abboip,37.73335,-122.40556,1,"""1211045243
"
abcoij,37.74228,-122.42652,1,"""1211928155
"
abcoij,37.73809,-122.39556,1,"""1211927198
"
abcoij,37.71108,-122.41537,1,"""1211774768
"
abcoij,37.74301,-122.42155,1,"""1211774221
"
abcoij,37.71911,-122.44892,1,"""1211773677
"
abcoij,37.77595,-122.49443,1,"""1211479682
"
abcoij,37.78514,-122.49979,1,"""1211479198
"
abdremlu,37.79001,-122.45535,1,"""1213027724
"
abdremlu,37.74039,-122.49415,1,"""1212983949
"
abdremlu,37.76038,-122.50789,1,"""1212983404
"
abdremlu,37.77911,-122.46737,1,"""1212941842
"
abdremlu,37.76035,-122.46625,1,"""1212941365
"
abdremlu,37.80011,-122.45465,1,"""1212935170
"
abdremlu,37.71439,-122.41487,1,"""1212849500
"
abdremlu,37.71749,-122.47528,1,"""1212842279
"
abdremlu,37.76117,-122.50596,1,"""1212841651
"
abdremlu,37.73295,-122.49095,1,"""1212840778
"
abdremlu,37.78412,-122.48131,1,"""1212840135
"
abdremlu,37.7241,-122.40231,1,"""1212794429
"
abdremlu,37.78614,-122.45651,1,"""1212789518
"
abdremlu,37.76555,-122.47179,1,"""1212740761
"
abdremlu,37.78348,-122.46453,1,"""1212729671
"
abdremlu,37.72457,-122.40154,1,"""1212634918
"
abdremlu,37.71877,-122.40578,1,"""1212614209
"
abdremlu,37.78699,-122.45355,1,"""1212493456
"
abdremlu,37.7826,-122.4806,1,"""1212491589
"
abdremlu,37.7943,-122.45455,1,"""1212475675
"
abdremlu,37.78168,-122.45482,1,"""1212412475
"
abdremlu,37.78662,-122.46658,1,"""1212406660
"
abdremlu,37.73422,-122.41639,1,"""1212380349
"
abdremlu,37.7636,-122.4622,1,"""1212336643
"
abdremlu,37.73755,-122.38404,1,"""1212309751
"
abdremlu,37.74483,-122.47699,1,"""1212308522
"
abdremlu,37.75332,-122.48078,1,"""1212308004
"
abdremlu,37.78007,-122.456,1,"""1212285182
"
abdremlu,37.78102,-122.45876,1,"""1212285100
"
