block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_2101,15244,1,Ferry Plaza,175762,1_merged_9191498,9071965
b_2151,15244,1,Ferry Plaza,175762,1_merged_9191498,9071964
b_2152,15244,1,Ferry Plaza,175762,1_merged_9191498,9071967
b_2153,15244,1,Ferry Plaza,175762,1_merged_9191498,9071966
b_2104,15244,1,Ferry Plaza,175762,1_merged_9191498,9071961
b_2109,15244,1,Ferry Plaza,175762,1_merged_9191498,9071960
b_2103,15244,1,Ferry Plaza,175762,1_merged_9191498,9071963
b_2108,15244,1,Ferry Plaza,175762,1_merged_9191498,9071962
b_2907,15252,1,Baker Beach,175812,2_merged_9191500,9187541
b_2909,15252,1,Baker Beach,175812,2_merged_9191500,9187540
b_2905,15252,1,Baker Beach,175812,2_merged_9191500,9187543
b_2907,15252,1,Baker Beach,175812,2_merged_9191500,9187542
b_2154,15244,1,Ferry Plaza,175762,1_merged_9191498,9071969
b_2103,15244,1,Ferry Plaza,175762,1_merged_9191498,9071968
b_2911,15252,1,Baker Beach,175812,2_merged_9191500,9187547
b_2901,15252,1,Baker Beach,175811,2_merged_9191500,9187546
a_4508,15050,0,Lyon + Greenwich,174131,1_merged_9191495,8987221
a_4510,15050,0,Lyon + Greenwich,174131,1_merged_9191495,8987220
a_4504,15050,0,Lyon + Greenwich,174131,1_merged_9191495,8987223
a_4506,15050,0,Lyon + Greenwich,174131,1_merged_9191495,8987222
a_4503,15050,0,Lyon + Greenwich,174131,1_merged_9191495,8987225
a_4507,15050,0,Lyon + Greenwich,174131,1_merged_9191495,8987224
a_4501,15050,0,Lyon + Greenwich,174131,1_merged_9191495,8987227
a_4502,15050,0,Lyon + Greenwich,174131,1_merged_9191495,8987226
a_4510,15050,0,Lyon + Greenwich,174131,1_merged_9191495,8987229
a_4511,15050,0,Lyon + Greenwich,174131,1_merged_9191495,8987228
b_6103,15281,0,Van Ness + California,175929,1_merged_9191498,9108320
b_6107,15281,0,Van Ness + California,175929,1_merged_9191498,9108321
b_6106,15281,0,Van Ness + California,175929,1_merged_9191498,9108322
b_6105,15281,0,Van Ness + California,175929,1_merged_9191498,9108323
b_6105,15281,0,Van Ness + California,175929,1_merged_9191498,9108324
b_6105,15281,0,Van Ness + California,175929,1_merged_9191498,9108325
b_6104,15281,0,Van Ness + California,175929,1_merged_9191498,9108326
b_6105,15281,0,Van Ness + California,175929,1_merged_9191498,9108327
b_6106,15281,0,Van Ness + California,175929,1_merged_9191498,9108328
b_6106,15281,0,Van Ness + California,175929,1_merged_9191498,9108329
b_1453,15240,1,Ferry Plaza,175752,2_merged_9191500,9069567
b_2903,15252,1,Baker Beach,175811,2_merged_9191500,9187545
b_2906,15252,1,Baker Beach,175811,2_merged_9191500,9187544
a_4708,15051,1,Fisherman's Wharf,174138,2_merged_9191497,8988413
a_4705,15051,1,Fisherman's Wharf,174138,2_merged_9191497,8988412
a_4707,15051,1,Fisherman's Wharf,174138,2_merged_9191497,8988411
a_4706,15051,1,Fisherman's Wharf,174138,2_merged_9191497,8988410
a_4709,15051,1,Fisherman's Wharf,174138,2_merged_9191497,8988417
a_4704,15051,1,Fisherman's Wharf,174138,2_merged_9191497,8988416
a_4711,15051,1,Fisherman's Wharf,174138,2_merged_9191497,8988415
a_4703,15051,1,Fisherman's Wharf,174138,2_merged_9191497,8988414
b_5501,15276,0,UCSF Mission Bay,175912,2_merged_9191500,9103444
b_5502,15276,0,UCSF Mission Bay,175912,2_merged_9191500,9103445
a_4701,15051,1,Fisherman's Wharf,174138,2_merged_9191497,8988419
a_4712,15051,1,Fisherman's Wharf,174138,2_merged_9191497,8988418
